"date","close","volume","open","high","low"
"2011/06/24","116.0000","114453.0000","117.3200","117.3600","115.8000"
"2011/06/23","117.8640","260750.0000","116.8400","117.9040","116.0000"
"2011/06/22","118.2600","106042.0000","118.6600","119.2600","118.2000"
"2011/06/21","118.9600","132444.0000","117.9400","119.1552","117.8400"
"2011/06/20","117.3600","53659.0000","116.3400","117.5600","116.3200"
"2011/06/17","116.7000","58774.0000","117.4800","117.5000","116.3800"
"2011/06/16","116.3800","66037.0000","116.2000","116.9066","115.5400"
"2011/06/15","116.1600","79695.0000","117.2800","117.5600","115.9000"
"2011/06/14","118.2200","75392.0000","117.8200","118.6600","117.8200"
"2011/06/13","116.7200","77896.0000","116.9000","117.2200","116.1800"
"2011/06/10","116.6400","106730.0000","117.8400","117.8600","116.4000"
"2011/06/09","118.2972","43329.0000","117.7800","118.7840","117.4616"
"2011/06/08","117.4000","87556.0000","117.7000","118.0880","117.2600"
"2011/06/07","117.8800","203681.0000","118.5200","118.9400","117.8598"
"2011/06/06","118.0400","113242.0000","119.0600","119.1800","117.9334"
"2011/06/03","119.3000","148412.0000","119.0000","120.1800","119.0000"
"2011/06/02","120.4600","211796.0000","120.7000","120.9200","119.8200"
"2011/06/01","120.6000","221965.0000","123.0400","123.0400","120.5400"
"2011/05/31","123.3400","172500.0000","123.3000","123.3598","122.4176"
"2011/05/27","122.1120","47588.0000","121.9800","122.4000","121.8600"
"2011/05/26","121.5800","64440.0000","120.7800","121.8000","120.5400"
"2011/05/25","121.1000","62275.0000","120.1600","121.5000","120.1600"
"2011/05/24","120.7000","89612.0000","121.1600","121.3600","120.5200"
"2011/05/23","120.8000","136197.0000","120.7000","121.1580","120.4000"
"2011/05/20","122.2490","95428.0000","122.8600","123.0000","122.0000"
"2011/05/19","123.0800","268549.0000","123.3400","123.4600","122.6400"
"2011/05/18","122.9200","74398.0000","121.9000","122.9800","121.6800"
"2011/05/17","121.7800","142395.0000","121.3600","121.8600","120.9200"
"2011/05/16","121.8000","113453.0000","122.2000","123.0200","121.6200"
"2011/05/13","122.5680","126370.0000","123.6200","123.7000","122.2000"
"2011/05/12","123.6400","113568.0000","122.6800","123.7400","122.0200"
"2011/05/11","122.9800","174388.0000","124.1200","124.1200","122.4180"
"2011/05/10","124.2900","175536.0000","123.6600","124.4800","123.5200"
"2011/05/09","123.2798","66099.0000","122.8000","123.5800","122.5800"
"2011/05/06","122.7800","138646.0000","123.4800","124.0000","122.2800"
"2011/05/05","122.2040","98930.0000","122.6200","123.3520","121.6400"
"2011/05/04","123.2780","107222.0000","124.1000","124.1000","122.7800"
"2011/05/03","124.1200","66701.0000","124.3600","124.5200","123.5000"
"2011/05/02","124.5200","130794.0000","125.4400","125.4400","124.3220"
"2011/04/29","124.8000","99143.0000","124.5000","124.8800","124.4180"
"2011/04/28","124.4400","66201.0000","123.9000","124.6000","123.8600"
"2011/04/27","124.0400","72807.0000","123.5600","124.2398","123.0000"
"2011/04/26","123.2470","85035.0000","122.6200","123.5000","122.5264"
"2011/04/25","122.1800","98965.0000","122.3200","122.4000","121.8262"
"2011/04/21","122.2984","200261.0000","122.3800","122.3800","121.9400"
"2011/04/20","121.7600","173219.0000","121.5800","121.9800","121.4800"
"2011/04/19","120.1400","78869.0000","119.6200","120.1400","119.3198"
"2011/04/18","119.4000","151942.0000","119.3000","119.6000","118.4402"
"2011/04/15","120.7200","79753.0000","120.5000","121.0400","120.2200"
"2011/04/14","120.3000","78417.0000","119.5800","120.4960","119.1600"
"2011/04/13","120.2800","185080.0000","120.8400","120.9000","119.8000"
"2011/04/12","120.2400","104752.0000","120.5000","120.6000","119.8000"
"2011/04/11","121.1280","139619.0000","121.6800","122.0200","120.9200"
"2011/04/08","121.5400","86855.0000","122.5000","122.5200","121.0200"
"2011/04/07","122.0000","107322.0000","122.0600","122.5000","121.3600"
"2011/04/06","122.2200","139478.0000","122.4800","122.5000","121.7800"
"2011/04/05","121.8600","205232.0000","121.5600","122.3200","121.5600"
"2011/04/04","121.8600","78767.0000","122.1000","122.2600","121.5200"
"2011/04/01","121.8000","70659.0000","122.1200","122.3400","121.5000"
"2011/03/31","121.2400","127498.0000","121.3000","121.5600","121.1000"
"2011/03/30","121.4000","105519.0000","121.2400","121.7400","121.1280"
"2011/03/29","120.5840","110932.0000","119.7000","120.6200","119.2940"
"2011/03/28","119.8000","166629.0000","120.3800","120.6400","119.7680"
"2011/03/25","120.0600","134421.0000","120.0200","120.5800","119.7800"
"2011/03/24","120.2308","110781.0000","119.8200","120.3800","119.1998"
"2011/03/23","119.1200","204112.0000","118.5200","119.4200","117.9400"
"2011/03/22","118.7400","137781.0000","119.1800","119.3000","118.6980"
"2011/03/21","119.1600","136332.0000","118.8400","119.3800","118.6800"
"2011/03/18","117.3800","128050.0000","118.4000","118.4000","117.1400"
"2011/03/17","116.8800","176163.0000","117.1400","117.4000","116.2420"
"2011/03/16","115.4400","340153.0000","117.2600","117.5600","114.6400"
"2011/03/15","117.6780","353387.0000","115.8200","118.2400","115.6200"
"2011/03/14","119.0000","146092.0000","118.9600","119.2598","118.0656"
"2011/03/11","119.7000","134343.0000","118.4000","120.1400","118.4000"
"2011/03/10","118.9000","267847.0000","119.8800","119.8800","118.7600"
"2011/03/09","121.1200","119854.0000","121.0600","121.3800","120.5000"
"2011/03/08","121.2600","106312.0000","120.4200","121.6176","119.9600"
"2011/03/07","120.1400","155044.0000","121.6000","121.7480","119.6000"
"2011/03/04","121.2000","168531.0000","122.0600","122.0600","120.4000"
"2011/03/03","122.1000","136428.0000","121.0800","122.2380","121.0800"
"2011/03/02","120.0400","176312.0000","119.6200","120.5600","119.5000"
"2011/03/01","119.7000","235339.0000","122.2800","122.3000","119.7000"
"2011/02/28","121.7800","208347.0000","121.5400","121.9400","121.1600"
"2011/02/25","121.0600","106330.0000","120.3400","121.1200","120.2000"
"2011/02/24","119.7600","241256.0000","119.6600","120.1520","118.6600"
"2011/02/23","119.8800","275961.0000","120.5000","120.7600","119.1000"
"2011/02/22","120.5600","288377.0000","121.6800","122.3800","120.2400"
"2011/02/18","123.0800","120790.0000","122.9600","123.2200","122.6800"
"2011/02/17","122.8800","158248.0000","122.0600","122.9600","121.9600"
"2011/02/16","122.4200","94294.0000","122.1000","122.6000","121.9720"
"2011/02/15","121.6480","82140.0000","121.7200","121.8600","121.3800"
"2011/02/14","122.0800","92197.0000","121.7200","122.1400","121.5800"
"2011/02/11","121.7800","149166.0000","120.6000","121.9200","120.5600"
"2011/02/10","121.0200","125200.0000","120.4000","121.1600","120.1600"
"2011/02/09","120.9800","139631.0000","120.9800","121.2800","120.4640"
"2011/02/08","121.2800","153460.0000","120.8800","121.3000","120.6000"
"2011/02/07","120.7182","118009.0000","120.3000","121.1200","120.2600"
"2011/02/04","119.9600","97028.0000","119.7000","120.0200","119.1400"
"2011/02/03","119.6400","72210.0000","119.2000","119.8000","118.5000"
"2011/02/02","119.3400","90959.0000","119.2400","119.6600","119.2400"
